modelo,marca,nombre,modelo_carro,ano_carro,precio,existencias
Sienna,Toyota,Bomba de combustible,Avalon,2002,2404,5
Express 1500,Chevrolet,Modulo de control electrico,9-3,2003,484,25
S-Series,Saturn,Faros,Tundra,1992,1183,14
SJ,Suzuki,Bomba de combustible,Rally Wagon 3500,1993,1536,3
RL,Acura,Faros,Cherokee,2001,1371,19
Escort,Ford,Filtro de particulas electricas,Sonata,2000,2890,10
Rogue,Nissan,Filtro de aceite,E350,2009,2800,22
TundraMax,Toyota,Filtro de particulas diesel,Club Wagon,2012,2032,7
DB9 Volante,Aston Martin,Filtro de particulas diesel,RS6,2006,1827,3
GX,Lexus,Cargador electrico,QX,2003,1508,19
Aveo,Chevrolet,Bateria de litio,Regal,2006,830,16
Elantra,Hyundai,Cargador electrico,Swift,2012,2448,13
MINI,MINI,Cuerpo de aceleracion,C/V,2002,2716,21
Grand Vitara,Suzuki,Motor electrico,Ion,2002,1122,3
C8 Spyder Wide Body,Spyker,Modulo de control electrico,SL-Class,2004,2434,22
Grand Marquis,Mercury,Radiador,Allante,1997,443,13
Escape,Ford,Filtro de particulas diesel,Freelander,2008,1407,9
Quest,Nissan,Modulo de control electrico,Grand Prix,2002,1870,7
Sierra 1500,GMC,Inyectores de diesel,I,2005,346,11
Turbo Firefly,Pontiac,Radiador,Corvette,1990,762,4
Grand Voyager,Plymouth,Filtro de aceite,TT,1998,510,3
Forester,Subaru,Espejo retrovisor,Firebird Formula,2011,2159,5
Grand Cherokee,Jeep,Bomba de combustible,Alcyone SVX,1998,2049,8
Relay,Saturn,Amortiguador,Tacoma,2007,1875,21
Envoy XL,GMC,Bujia,Galant,2005,2928,20
XC70,Volvo,Bateria de arranque,Mirage,2004,1958,24
Navigator,Lincoln,Filtro de particulas diesel,Gallardo,1999,2089,8
7 Series,BMW,Pastillas de freno,Crown Victoria,2004,2967,4
Thunderbird,Ford,Sistema de escape,JUKE,2003,1215,4
Laser,Plymouth,Bateria de arranque,Ascender,1992,1965,6
X-Type,Jaguar,Bateria de litio,Prizm,2005,2861,12
Alcyone SVX,Subaru,Convertidor catalitico,Ram 3500 Club,1994,2835,22
GTI,Volkswagen,Faros,G-Series 2500,2004,2813,14
Mustang,Ford,Motor electrico,Wrangler,2013,701,18
C-Class,Mercedes-Benz,Enfriador de bateria,928,2008,1785,21
Talon,Eagle,Aceite de motor,Villager,1992,2641,16
Sierra 2500,GMC,Pastillas de freno,Ram 3500,2006,2206,21
S10,Chevrolet,Faros,CTS,1993,2792,22
CASRX,nissan,bujia,2005,263,si
